C_UC,accum,window,combo,acc,bal_acc,f1
1.0,128.0,4.0,2.0,0.1138,0.1135,0.1086
1.0,128.0,4.0,3.0,0.1162,0.1158,0.108
1.0,128.0,4.0,4.0,0.1159,0.1155,0.11
1.0,128.0,5.0,2.0,0.1144,0.1141,0.1095
1.0,128.0,5.0,3.0,0.1153,0.1149,0.1078
1.0,128.0,5.0,4.0,0.1146,0.1142,0.1089
1.0,128.0,5.0,5.0,0.1177,0.1173,0.1116
1.0,128.0,6.0,2.0,0.1139,0.1135,0.1088
1.0,128.0,6.0,3.0,0.1146,0.1141,0.1071
1.0,128.0,6.0,4.0,0.1145,0.1141,0.1082
1.0,128.0,6.0,5.0,0.1168,0.1164,0.1103
1.0,128.0,6.0,6.0,0.1192,0.1188,0.1114
1.0,256.0,4.0,2.0,0.1172,0.1168,0.1095
1.0,256.0,4.0,3.0,0.1149,0.1145,0.108
1.0,256.0,4.0,4.0,0.1171,0.1166,0.1102
1.0,256.0,5.0,2.0,0.1163,0.1159,0.1083
1.0,256.0,5.0,3.0,0.1136,0.1132,0.1068
1.0,256.0,5.0,4.0,0.114,0.1136,0.1078
1.0,256.0,5.0,5.0,0.1166,0.1162,0.1095
1.0,256.0,6.0,2.0,0.116,0.1157,0.1089
1.0,256.0,6.0,3.0,0.1137,0.1134,0.1075
1.0,256.0,6.0,4.0,0.1133,0.113,0.1081
1.0,256.0,6.0,5.0,0.1162,0.1158,0.1098
1.0,256.0,6.0,6.0,0.1177,0.1173,0.1104
1.0,512.0,4.0,2.0,0.1171,0.1168,0.1103
1.0,512.0,4.0,3.0,0.1159,0.1156,0.1092
1.0,512.0,4.0,4.0,0.1182,0.1177,0.1098
1.0,512.0,5.0,2.0,0.1169,0.1165,0.111
1.0,512.0,5.0,3.0,0.1139,0.1136,0.1083
1.0,512.0,5.0,4.0,0.1146,0.1142,0.1079
1.0,512.0,5.0,5.0,0.1177,0.1173,0.107
1.0,512.0,6.0,2.0,0.1164,0.1161,0.1102
1.0,512.0,6.0,3.0,0.1134,0.1131,0.1074
1.0,512.0,6.0,4.0,0.1139,0.1135,0.1082
1.0,512.0,6.0,5.0,0.1149,0.1145,0.1085
1.0,512.0,6.0,6.0,0.119,0.1186,0.1098
1.0,1024.0,4.0,2.0,0.1171,0.1167,0.1101
1.0,1024.0,4.0,3.0,0.1167,0.1163,0.1102
1.0,1024.0,4.0,4.0,0.1194,0.119,0.1118
1.0,1024.0,5.0,2.0,0.1169,0.1165,0.1104
1.0,1024.0,5.0,3.0,0.116,0.1156,0.1098
1.0,1024.0,5.0,4.0,0.1176,0.1172,0.1104
1.0,1024.0,5.0,5.0,0.1188,0.1184,0.1095
1.0,1024.0,6.0,2.0,0.1177,0.1173,0.1107
1.0,1024.0,6.0,3.0,0.1145,0.1142,0.1089
1.0,1024.0,6.0,4.0,0.114,0.1136,0.108
1.0,1024.0,6.0,5.0,0.1168,0.1164,0.1102
1.0,1024.0,6.0,6.0,0.1201,0.1197,0.1112
